2.90	3.30	2.30	31.85%	27.99%	40.16%	92.37%	0.77	0.96	1.02
3.20	3.30	2.15	28.92%	28.04%	43.04%	92.54%	0.85	0.96	0.95
3.08	3.18	2.32	30.34%	29.38%	40.28%	93.44%	0.82	0.93	1.02
4.00	3.20	2.00	23.53%	29.41%	47.06%	94.12%	1.07	0.93	0.88
3.70	3.25	2.06	25.42%	28.93%	45.65%	94.04%	0.99	0.95	0.91
3.66	3.16	1.99	25.02%	28.97%	46.01%	91.56%	0.98	0.92	0.88
3.60	3.22	2.12	26.20%	29.30%	44.50%	94.34%	0.96	0.94	0.94
2.90	3.15	2.40	31.96%	29.42%	38.62%	92.68%	0.77	0.92	1.06
3.66	3.15	2.04	25.28%	29.37%	45.35%	92.52%	0.98	0.92	0.90
3.66	3.15	2.04	25.28%	29.37%	45.35%	92.52%	0.98	0.92	0.90
3.66	3.15	2.04	25.28%	29.37%	45.35%	92.52%	0.98	0.92	0.90
3.55	3.20	2.14	26.54%	29.44%	44.02%	94.21%	0.95	0.93	0.94
3.55	3.20	2.06	26.09%	28.95%	44.96%	92.62%	0.95	0.93	0.91
3.80	3.20	2.10	25.02%	29.71%	45.27%	95.07%	1.01	0.93	0.93
3.60	3.30	2.05	25.99%	28.36%	45.65%	93.58%	0.96	0.96	0.90
3.68	3.25	2.08	25.63%	29.02%	45.35%	94.32%	0.98	0.95	0.92
3.70	3.20	2.05	25.25%	29.19%	45.56%	93.41%	0.99	0.93	0.90
3.80	3.25	2.10	25.13%	29.39%	45.48%	95.51%	1.01	0.95	0.93
2.80	3.10	2.30	32.04%	28.94%	39.01%	89.73%	0.75	0.90	1.02
3.50	3.20	2.00	26.02%	28.46%	45.53%	91.06%	0.93	0.93	0.88
3.30	3.10	1.95	26.62%	28.34%	45.05%	87.84%	0.88	0.90	0.86
3.50	3.20	2.00	26.02%	28.46%	45.53%	91.06%	0.93	0.93	0.88
3.50	3.20	2.00	26.02%	28.46%	45.53%	91.06%	0.93	0.93	0.88
3.70	3.33	2.08	25.71%	28.56%	45.73%	95.12%	0.99	0.97	0.92
3.60	3.30	2.10	26.28%	28.67%	45.05%	94.61%	0.96	0.96	0.93
4.00	3.35	2.12	24.50%	29.26%	46.24%	98.02%	1.07	0.98	0.94
3.60	3.30	2.10	26.28%	28.67%	45.05%	94.61%	0.96	0.96	0.93
3.60	3.30	2.10	26.28%	28.67%	45.05%	94.61%	0.96	0.96	0.93
3.45	3.20	2.10	26.87%	28.97%	44.15%	92.72%	0.92	0.93	0.93
3.45	3.20	2.10	26.87%	28.97%	44.15%	92.72%	0.92	0.93	0.93
3.80	3.30	2.15	25.52%	29.38%	45.10%	96.96%	1.01	0.96	0.95
3.45	3.20	2.17	27.26%	29.39%	43.34%	94.06%	0.92	0.93	0.96
2.99	3.11	2.48	31.58%	30.36%	38.07%	94.41%	0.80	0.91	1.09
3.05	3.15	2.30	30.36%	29.39%	40.25%	92.58%	0.81	0.92	1.02
3.52	3.15	2.09	26.30%	29.39%	44.30%	92.59%	0.94	0.92	0.92
3.60	3.05	2.06	25.46%	30.05%	44.49%	91.65%	0.96	0.89	0.91
3.35	3.25	2.11	27.64%	28.49%	43.88%	92.58%	0.89	0.95	0.93
2.95	3.05	2.31	30.82%	29.81%	39.36%	90.93%	0.79	0.89	1.02
3.70	3.35	2.10	25.86%	28.57%	45.57%	95.70%	0.99	0.98	0.93
2.90	3.05	2.50	32.15%	30.56%	37.29%	93.22%	0.77	0.89	1.10
3.60	3.20	2.05	25.77%	28.99%	45.25%	92.76%	0.96	0.93	0.90
3.60	3.20	2.05	25.77%	28.99%	45.25%	92.76%	0.96	0.93	0.90
3.70	3.20	2.05	25.25%	29.19%	45.56%	93.41%	0.99	0.93	0.90
3.75	3.25	2.10	25.38%	29.29%	45.33%	95.19%	1.00	0.95	0.93
3.60	3.15	2.06	25.70%	29.38%	44.92%	92.53%	0.96	0.92	0.91
3.60	3.20	2.05	25.77%	28.99%	45.25%	92.76%	0.96	0.93	0.90
3.55	3.10	2.05	25.79%	29.54%	44.67%	91.57%	0.95	0.90	0.90
3.85	3.30	2.05	24.72%	28.84%	46.43%	95.19%	1.03	0.96	0.90
3.40	3.30	2.25	28.24%	29.09%	42.67%	96.01%	0.91	0.96	0.99
3.30	3.10	2.25	28.32%	30.15%	41.53%	93.45%	0.88	0.90	0.99
3.20	3.10	2.20	28.68%	29.60%	41.72%	91.77%	0.85	0.90	0.97
